Couplet,Poet
"ھَڏِ نہ وَڻي ھاڻِ مُون، ويڄَنِ جِي وِصالَ،
هِنَ مُھجي حالَ، حَبِيبُ ئِي ھادي ٿِئو.",Shah Abdul Latif Bhitai
"سوئِي راھَ رَدِّ ڪري، سوئي رَهَنُماءُ،
وَتُعِزُّمَنۡ تَشَآءُ وَتُذِلُّ مَنۡ تَشَآءُ.",Shah Abdul Latif Bhitai
"سِڪين ڪُهۡ سلام کي، ڪَرين ڪُهۡ نہ سَلامُ؟
ٻِئا دَرَ تَنِ حَرامُ، اِيُ دَرُ جَنِين دَيکئو.",Shah Abdul Latif Bhitai
"مِٺايا مِٺو گَهڻون، ڪَڙو ناھِ ڪلامُ،
سُڪُوتُ ئِي سلامُ، پِريان سَندي پارَ جو.",Shah Abdul Latif Bhitai
"پِريان سَندي پارَ جِي، مِڙَئِي مِٺائِي،
ڪانِه ڪَڙائي، چَکين جَي چَيت ڪَري.",Shah Abdul Latif Bhitai
"ڄاڻِي ٻُجهي جَنِ، توسين سُورَ سَڃَ ڪِي،
تون ڪِيَ سنديُون تَنِ، پَرَ سين پَچارون ڪرين.",Shah Abdul Latif Bhitai
"حَبِيبَنِ هيڪارَ، مَنجها مَھَر سڏُ ڪِئو،
سو مون سڀَ ڄمارَ، اورڻُ اُھوئِي ٿِئو.",Shah Abdul Latif Bhitai
"ڪُھِنِ تان ڪَرَ لَھَنِ، ڪَرَ لَھَن تان ڪُھِنِّ،
سيئِي ماءِ مُھَنِّ، سيئِي راحَتَ رُوحَ جِي.",Shah Abdul Latif Bhitai
"جان ڪي ڪَري طَبيبُ، دارُون هِنَ دردَ جا،
هَڻيو سي حبيبُ، اُکوڙيو اَڌَ ڪَري.",Shah Abdul Latif Bhitai
"هَڻُ حَبِيبَ! هٿُ کَڻِي، ٿيڪ مَ ٿورو لاءِ،
پرين! تنھنجي گهاءِ، مَران ته مانُ لَهان.",Shah Abdul Latif Bhitai
"جِتِ حَبيبَ هَڻن، نائُڪَ پَري نينهن جِي،
تتي طبيبَنِ، وِڄا وَڃي وِسَري.",Shah Abdul Latif Bhitai
"هَڻين جي حَبيبَ! مَحبَتي مَيا ڪري،
پُڇان ڪِينَ طَبِيبَ، هوندَ گهائنِ سين ٿي گهارِيان.",Shah Abdul Latif Bhitai
"چوري چَنگُ، ٻَنگُ لهِي، حَبيبَنِ هنيوس،
ٻُجهان ٻاڻُ لڳوس، ڪاناريو ڪَرَ کڻي.
",Shah Abdul Latif Bhitai
"اَڄُ پُڻ ڪَنجهو ڪَنجهَه، واڍوڙڪي مَنهَين،
جُي پُڻ پين سَنجهَه، هُوءِ پِنيُون هُوءِ پَٽِيُون.",Shah Abdul Latif Bhitai
"اَڄُ پُڻ ڪهڙي دانهن، واڍوڙڪيءَ مَنهين،
ويڄَ ورائي ٻانهن، چوري چاڪَ نِهاريا.",Shah Abdul Latif Bhitai
"ويچارا واڍوڙَ، سَدا شاڪِر سُورَسين،
تاڻِينِ مَٿي توڙ، اوري ڪَنِ نه آسرو.",Shah Abdul Latif Bhitai
"ويڄَنِ سين وائيءَ پِيا، ڪِري نه ڪيائون،
جي پَندِ پارِيائُون، ته سِگهائي سَگها ٿِيا.",Shah Abdul Latif Bhitai
"ويڄَن سين وائيءَ پيا، ڪِرِي ڪَنِ نه پاڻِ،
اَگها ان اُهڃاڻ، پَسو! سُور سِجهائيا.",Shah Abdul Latif Bhitai
"آهي گهڻو اَگهَن جو، تَرَسُ طَبِيبَن،
ڪَيو وَسُ ويڄَن، تان ڪِري ري ڪِينَ ٿئي.",Shah Abdul Latif Bhitai
"تَرَسُ طَبِيبَن جو، جَڏَن ڪيو نه جات،
جي ويڄن جي واتِ، دارُونئان سي دُورِ ٿيا.",Shah Abdul Latif Bhitai
"اَگها ئي سگها ٿيا، جي ويٺا وَٽِ ويڄَن،
ترسِي طَبيبَنِّ، چيٺي هوند چڱا ڪيا.",Shah Abdul Latif Bhitai
"پاڙي ويڄَ هُئامِ، تان مُون مُورُ نه پُڇيا،
تيلاهيِن پِيامِ، موريسَرَ اَکيَنِ ۾.",Shah Abdul Latif Bhitai
"هارِئا! تو هِرِي، ڪُپَڇُ ڪايا سين ڪِيو،
ڪَرِيين جي ڪِرِي، ته تون تَوانو ٿِيين.",Shah Abdul Latif Bhitai
"ويڄَ! مَ ٻُڪِي ڏي، اَلا! چَڱِي مَ ٿيان،
سَڄَڻُ مانَ اَچي، ڪَرَلاهُو ٿِي ڪَڏِهين.",Shah Abdul Latif Bhitai
"هاريا ويڄَ مُياسِ! سُڌِ نه لهن سُورَ جِي،
پرِيان کي چَوندياس، ته تَرَسُ طَبيبَنِ ڇَڏِيو.",Shah Abdul Latif Bhitai
"ويهَڻُ ويڄَنِ وَٽِ، جي سِکين ته سَگهو ٿيين،
اَڳِين عادَتَ مَٽِ، ته اَگها! عاجِزُ نه ٿِيِين.",Shah Abdul Latif Bhitai
"هُئين ته ويڄَنِ وَٽِ، تون ڪيئن جِيءَ جَڏو ٿيين؟
سِرُ ڏيئِي ۾ سَٽِ، ڪُه نه ڪِيَئِي ڊڀَڙا؟",Shah Abdul Latif Bhitai
"ڪُٺِيَس ڪُويڄَنِ، تَنَ طبيبَ نه گَڏِيا،
ڏيئي ڏَنڀَ ڏَڏَنِ، پاڻان ڏِيلُ ڏُکوئيو.",Shah Abdul Latif Bhitai
"اَگهَنِ مِڙِي اَڄُ، ڪِيو سَڏُ صِحَتَ کي،
ڏورِ، ڏُکَندا ڀَڄُ، مِهرِيءَ مُنهن ڏيکاريو.",Shah Abdul Latif Bhitai
"پُرِي پَتَنگَ آئيا، سِرِي سَهائٖي هيٺِ،
ٿِيندا ڏيٺاري ڏيٺِ، مَٿو ڏِيندا مَچَ کي.",Shah Abdul Latif Bhitai
"پَچائي پَهاڻُ، جَنِ رَساڻِئو رُڪَ کي،
تَنِين سندو ڄاڻُ، آهي آڳَڙِيَنِ کي.",Shah Abdul Latif Bhitai
"سِرُ سانداڻِ ڪري، پُڇِجِ گَهرُ لُهارَ جو،
ڌَڪَنِ هيٺِ ڌَريٖ، ماَن گَڏيئِي رُڪَ سين.",Shah Abdul Latif Bhitai
"سَهين جيئن سانداڻِ، ڌَڪَنِ مَٿي ڌَڪَڙا،
وَهِه وِڃائي پاڻِ، ڏي ڏَٻائُون ڏڱرين.",Shah Abdul Latif Bhitai
"ٻارِيو اُجهائِين پِرِين، اُجهايو ٻارِينِ،
مون کي ٿا مارِينِ، لُئا لُهارَنِ جا!",Shah Abdul Latif Bhitai
"اَڄُ آڳَڙِيا آئِيا، سُوڌا سِراڻِي،
پياري پاڻِي، تيغُون ڪَندا تِکِيُون.",Shah Abdul Latif Bhitai
"اَڄُ آڳَڙِيا آئِيا، سائُو ڪٖي سُڄاڻَ،
لاهِيندا مورِياڻَ، رُڪُ ڪَرِيندا پَڌرو.",Shah Abdul Latif Bhitai
"سَرَها ڏِٺَمِ سٖي، جَنِ ساڃاءِ سِراڻِ سين،
تَيغَ تَنِين جي کي، ڪَٽُ نه لڳي ڪَڏهِين.",Shah Abdul Latif Bhitai
"ايڪُ پِيالو! ٻه ڄڻا، عشقُ نه ڪري اَڌَ،
اِيَ تان ساعِرَ سَڌَ، ڪَيئِي جا قوال سين.",Shah Abdul Latif Bhitai
"جيڏانهن قاتِلَ ڪوڙَ، اَکيُون اوڏانهين کَڻي،
وِهُ تَنِين جِي ووڙَ، جَنِين سانگُ نه ساهَ جو.",Shah Abdul Latif Bhitai
"اَکِيون اوڏاهين کَڻي، جيڏانهن قاتلَ ڪُلِ،
مَٿو ڪَنِ نه مُلِ، پِڪَ برابر پانهنجو.",Shah Abdul Latif Bhitai
"قاتِلُ ڪمائِي ڪَري، وِهُ ماکِي جي ڪَنِ،
وَٽان ويهِي تَنِ، پِيج ڪي پياليُون.",Shah Abdul Latif Bhitai
"آڻي اُتَرَ واءَ، موکِيءَ مَٽَ اُپَٽِيَا،
مَتارا تنهين ساءَ، اَچَنِ سِرَ سَنباهِيو.",Shah Abdul Latif Bhitai
"جُہُ سٖي اَڱڻِ آئِيا، ته سَرو ڪَندا سُڃَ،
سائِي ٿينديَنِ اُڃَ، هِي پِيتو! هُو آڻِ ڪِي!",Shah Abdul Latif Bhitai
"موکي چوکي نہ ٿئي، اصل اوڇي ذات،
وَٽُيون ڏيئي واتِ، متارا جنھن مارِيا.",Shah Abdul Latif Bhitai
"مَتارا مَرِي وِيا، موکِي! تون نَه مَرين!
ڪيٖهِي پَرِ پَرين، ڏُکِي! ڏاتارَنِ ريٖ؟",Shah Abdul Latif Bhitai
"مَتارا مَرِي ويا، مَوکِي! تُون ڀِي مَرُ،
تنهنجو ڏوس ڏَمَرُ، ڪونَه سَهَندو اُنِ ريٖ.",Shah Abdul Latif Bhitai
"اَڃا کُوريٖ ماڳَ، مَٽَ، ڪُٽِڪا، ڪَٽَ گهڻا،
لاهي ويٖههُ مَ لاڳَ، موکِي مَتارَن جا.",Shah Abdul Latif Bhitai
"آٽِي ٿِيءُ اَڱارُ، کامِي کِردارَنِ سين،
پَسين سي ڀَتارَ، پُرِ پِيتوئي جَنِ سين.",Shah Abdul Latif Bhitai
"ڪَلاڙِ نِئُون ڪاءِ، مَتِ نه سِکين مون هِنيان!
رُوئنديٖ راتِ، وِهاءِ، چِڪائيندي بَٺِيون.",Shah Abdul Latif Bhitai
"موکِيءَ مَٽَ اُپَٽِيا، اَڇا اڱڻ ڌارِ،
اِيندا تو دَربارِ، وِهَ پِيَئندا وَٽِيون.",Shah Abdul Latif Bhitai
"ڏِنٖي ڏُکويا، اَڻَ ڏِنٖي راضِي ٿِيا،
صُوفِي تي ٿِيا، جيئن ڪِين کنيائون پاڻ سين.",Shah Abdul Latif Bhitai
"صُوفِيءَ صافُ ڪيو، ڌوئِي وَرَقُ وُجودَ جو،
تنهان پوءِ ٿِيو، جِيئَري پَسَڻُ پِرينءَ جو.",Shah Abdul Latif Bhitai
"صُوفِي چائين، سَڌَ ڪرين، صُوفِينِ اِيءَ نه صَلاحَ،
ڪاٽي رَکُ ڪُلاهه، وِجُهه اُڇَلي آڳِ ۾.",Shah Abdul Latif Bhitai
"عالَمُ آئونءَ ساڻُ، ڀَريو ٿو ڀيٖرَ ڪري،
پاڻَ نه آهي ڄاڻُ، مانڊِيءَ مَنڊُ پَکيڙِيو.",Shah Abdul Latif Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، اَندرِ رُوميءَ راءِ،
ماڙُهو اِتِ ڪِياءِ، مَنڊُ نه پَسين مَنڊِيو!",Shah Abdul Latif Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، اِيَءَ رومِيءَ جي رُوءِ،
جَنِين ڏِٺِي جُوءِ، تَنِين ڪُڇيو ڪينِڪي.",Shah Abdul Latif Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، رُومِيءَ چيو آهي،
تاڙِي جٖي لاهي، ته مَنجَهئيِن مُشاهِدو ٿٖئي.",Shah Abdul Latif Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، اِيَءَ رومِيءَ جِي رِهاڻَ،
پِهرِين وِڃائِڻُ پاڻِ، پَسَڻُ پوءِ پِرِيَنِ کي.",Shah Abdul Latif Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، اِيَءَ رومِيءَ جِي راحَتَ،
جَنِين ڏِٺِي سَتَ، تَنِين ڪُڇيو ڪِينَڪِي.",Shah Abdul Latif Bhitai
"طالِبُ ڪَثَرَ، سُونهن سَرُ، اِيَءَ رومِيءَ جِي اوطاقَ،
جي ڀَڄــٖي دَرُ فِراقَ، ته منجهئِين مشاهِدو ٿئـٖي.",Shah Abdul Latif Bhitai
"ٿِيا رَسِيلا رَحمانَ سين، سَڳَرُ سُونهِينِ جي،
آئيون تَنِين کي، واڌايُون وِصالَ جُون.",Shah Abdul Latif Bhitai
"سا سِٽَ نه سارِينِ، اَلِفُ جنهن جي اَڳَ ۾،
ناحَقُ نِهارِينِ، پَنا ٻِيا پرينءَ لَئي.",Shah Abdul Latif Bhitai
"عاشِقُ عَزازِيلُ، ٻيا مِڙَئي سَڌَڙِيا،
مَنجهان سِڪَ سَبِيلَ، لَعنتِي لالُ ٿِئو.",Shah Abdul Latif Bhitai
"وِسَريومِ سَبَقُ، پِهرين سِٽَ نه سَنڀَران،
اَڃا هِيءُ وَرَقُ، هَئــٖي! مُطالِع نه ٿِيو!",Shah Abdul Latif Bhitai
"ڪيو مُطالعُ مون، هُو جو وَرَقُ وِصالَ جو،
تنهن ۾ تُون هِين تُون، ٻِي لاتِ نه لَحظـٖي جيتري.",Shah Abdul Latif Bhitai
"اَکَرَ ڇُتـٖي هيڪَڙي، ٻَهُون جي نه ٻُجَهنِ،
ڪوهُ ڪِبو کي تَنِ، سَڄِي سُڻائي ڳالهڙي.",Shah Abdul Latif Bhitai
"پَڙِهيو ٿا پَڙَهَنِ، ڪَڙَهَنِ ڪينَ قُلُوبَ ۾،
پاڻان ڏوهَه چَڙَهَنِ، جِيَ وَرَقَ وَرائِنِ وِتَرا.",Shah Abdul Latif Bhitai
"اَکَرُ پَڙههُ اَلِفَ جو، وَرَقَ سَڀِ وِسارِ،
اَندَرُ تُون اُجارِ، پَنا پَڙهندين ڪيترا.",Shah Abdul Latif Bhitai
"جيئن جيئن وَرَقَ وَرائِييٖن، تيئن تيئن ڏِٺو ڏوهُه،
تِنهن ڪَهڻيءَ ڪِبو ڪوهُ، جي رَهڻِيءَ رهيو نه سُپِرِين.",Shah Abdul Latif Bhitai
"ڪاتِبَ لِکيٖن جيئن، لايو لامُ اَلِفَ سين،
اَسان سَڄَڻُ تيئن، رَهيو آهي رُوحَ ۾.",Shah Abdul Latif Bhitai
"ڪو ٿو ڪاڳَرَ ڪورِييٖن، ويٺو وڃاييٖن مَس،
ڏورِ تِئائِين ڏسُ، اَکَرَ جِئائِين جُڙيا.",Shah Abdul Latif Bhitai
"هارائِجِ هِنئييٖن ۾، اَلِفَ سَندي اوڙَ،
ته ڪِتابَن جي ڪوڙَ، منجهان ئِي مَعلومُ ٿِئـٖي.",Shah Abdul Latif Bhitai
"ڪوڙييٖن ڪِتابَن ۾، حرفُ مِڙوئي هيڪُ،
جي تو نَظَرَ نيڪُ، ته بِسمِ اللهِ ئي بَس ٿئي.",Shah Abdul Latif Bhitai
"مُلئين مُٺي، ماءُ! جنهن پِتو ڦِٿو پيٽَ ۾،
سُڃاڻِي اَللهُ، ٽُٻِي ڏِنائين ڌوڙِ ۾،",Shah Abdul Latif Bhitai
"اَحد، اَحمَدُ پاڻُ ۾، وِچان مِيمُ فَرَقُ،
آهي مُستَغَرقُ، عالَمُ اِنهِيءَ ڳالهه ۾.",Shah Abdul Latif Bhitai
"دائُودِي دَيُون ڪَري، رَڪَنِ ڪونِهي رَنگُ،
گهوڙِيءَ هيٺِ اَيَنگُ، ڪاهِيو پاکَرِئينٖ هَڻي.",Shah Abdul Latif Bhitai
"دائُودِي دَيُون ڪَري، رَڪَنِ ڪونِهي چيتُ،
گهوڙِيءَ هيٺِ سُچيتُ، ڪاهِيون پاکَرِئيٖن هَڻي.",Shah Abdul Latif Bhitai
"او قابِيلَ! اکين سين، تِيرَ چَلايا تو،
ٻِيو مَرُ ماري سو، جنهن جو پهريون پُورو نَه ٿئٖي.”",Shah Abdul Latif Bhitai
"جي هُو پائِنِ ڪانُ ڪمانَ ۾، ته نَئِي ڏِجِ سِينو،
ڪِجي نه ڪِينو، وَڃِي دَرِ دوستنِ جٖي.",Shah Abdul Latif Bhitai
"پائي ڪانُ ڪَمانَ ۾، مِيان! مارِ مَ مون،
مون ۾ آهِين تون، مَتان تنهنجو ئِي توکي لڳي.",Shah Abdul Latif Bhitai
"ڪَيو ڇَڏِينِ ڪانُ، هَڏِ نه هَڻائِينِ ٿا،
ٿِيا جي نِيشانُ، ته پهرئين سان پُورا هئا.",Shah Abdul Latif Bhitai
"لورِي جِتِ لَڳومِ، اُتِ اُڀوئِي آهِيان،
سُورِهيه پِرِين سَندومِ، مانَ ٻاجهائٖي ٻِيو هَڻٖي!",Shah Abdul Latif Bhitai
"عاشِقَنِ اَللهَ جِي، مَحبَتَ رَکِي مَنِ،
سَندِي سِڪَ پِرِيَنِ، تَنَ ۾ آهي تَنِ جي.",Shah Abdul Latif Bhitai
"عاشِقَنِ اَللهُ، ويرو تارِ نه وِسَري،
آهَه ڪَرِيندي ساهُه، ڪَڏِهن ويندو نِڪَرِي.",Shah Abdul Latif Bhitai
"عاشِقَنِ آرامُ، ڪڏِهن تان ڪونه ڪِيو،
طَعني ڪِيا تمامُ، حَبِيباڻي هيٖڪَڙيٖ.",Shah Abdul Latif Bhitai
"سِڪَ نه آهي سُٿَرِي، کَڻُ پَرُوڙي پيرُ،
ڪُسَڻَ ڌاران ڪيرُ، ڪَري سَڌَ سِڪَڻَ جِي؟",Shah Abdul Latif Bhitai
"جي ڪِين سِڪَڻُ سِکُ، ناتَ پَسُ سِڪَندِيين،
پاسي تَنِين مَ لِڪُ، نينهن نه سُڃَاڻَنِ جي.",Shah Abdul Latif Bhitai
"جان جان ناههِ ضَرُورُ، تان تان طبيبُ ناههِ ڪو،
جُهه سو سَرِيو سُورُ، ڪَرَ ويڄُ وَرِ پيو.",Shah Abdul Latif Bhitai
"سُورُ جِنِين کي سَرِيو، سَرِي تَنِ صِحَتَ،
مُٺِي مُصِيبَتَ، آهي عاشقن کي.",Shah Abdul Latif Bhitai
"جي پِياري پاڻَ، ته ڪَرَهو ٿِي پاڻِي پِيين،
اَڳـٖي اِنَ نياڻَ، اَڻَ ڪوٺِيو ڪونهَ گِهڙي.",Shah Abdul Latif Bhitai
"اَڻَ ڪِي عَيان نه ٿيي، ڪِي پَروڙي ڪونهَ،
سِچِي جيٖهي سونَ، مُنهن نه پيئِي ماڙُهين.",Shah Abdul Latif Bhitai
"اَڻَ ڪِي عَيان نه ٿيي، ڪِي پَروڙي ڪون،
سا سُونهِين ٿي سونَ، اَمُرُ عَطا جنهن جو.",Shah Abdul Latif Bhitai
"جيڪِي ڏِنائُون، سو مان ڳُڻُ ڳَنڍِ ٿيو،
مون کان پُڇيائُون، ٺوڪي اِنهِين ٺوڪَ سين.",Shah Abdul Latif Bhitai
"جيڪي ڏِنائون، سو سِرُ ڏيئِي سَهُه، ڄندڙا!
مَ چَئو ڇِنائُون، اِي پُڻ ڳَنڍِيو سَڄڻيٖن.",Shah Abdul Latif Bhitai
"نَمِي کَمِي نِهار تون، ڏَمَرُ وڏو ڏُکُ،
مَنجهان صَبُرَ سُکُ، جي سَنوارِيا! سَمُجهين.",Shah Abdul Latif Bhitai
"نَمِي کَمِي نِهار تون، ڏَمَرُ ڏولائو،
ٿِيَئِي ساڃائو، جي اُڀِيين اِنَهِين پيرَ تي.",Shah Abdul Latif Bhitai
"ڏَمَرَ پاسو ڏُکَ سين، کاندِ کَٿُورِي هوءِ،
وَاللهُ مَعَ الصّابِرِينَ، آگو اِيهين چوءِ.",Shah Abdul Latif Bhitai
"کَمُ! کَمَندَنِ کَٽيو، هارايو هوڙَنِ،
چَکِيو نه چُوندَنِ، هُو جو ساءُ صَبُرَ جو.",Shah Abdul Latif Bhitai
"کَمَندَڙَنِ گَهرِ کِين، چَوندڙَ چڱا نه ٿيا،
ويڻَنِئُون وِيڌُ پَئي، هَٿِ نه اَچي ڪِين.",Shah Abdul Latif Bhitai
"ڪَنِين ڪينَ پِرائِيو، ڪِيني مَنجهان ڪِين،
جي هوءِ سَٽاڻِي سِيڱ، ته زِهَ ڇِنٖي جوکو ٿِئـٖي.",Shah Abdul Latif Bhitai
"ڪِينَ مائِيندا مَنَ ۾، خودِي ۽ خُدا،
ٻِنِ تراڙِنِ جاءِ، ڪا آهي هيڪَ مِياڻِ ۾؟",Shah Abdul Latif Bhitai
"جَنين سندِي ٻوڏَ ۾، ڀَتو ڀَتيٖن جيءُ،
تُون تَنِين سين پِيءُ، اوڏا اَڏيٖ پکَڙا.",Shah Abdul Latif Bhitai
"ويٺي جَنِين وَٽِ، ڏُکَندو ڏُورِ ٿِئي،
سا مجلَس ئِي مَٽِ، جي حاصلُ هوءِ هزارَ جو.",Shah Abdul Latif Bhitai
"ويٺي جَنِين وَٽِ ڏُکَندو ڏُورِ ٿِئي،
تون تَنِين سين ڪَٽ، اوڏا اَڏي پَکَڙا.",Shah Abdul Latif Bhitai
"چوڏِهينءَ چَنڊُ اُڀِريو اُوڻٽِيهَه پَسيسِ عامَ،
مَٿَسِ ناهِ مَلام، جيڪِي پُڇين پُڇُ سو.",Shah Abdul Latif Bhitai
"سَهسين سِڄن اُڀِريٖ، چوراسِي چَنڊن،
بِاللهِ، ري پِرِيَنِ، سَڀَ اُونداهِي ڀانئيان.",Shah Abdul Latif Bhitai
"چَنڊَ! تنهنجي ذاتِ، پاڙِيان ڪين پِرِيَنِ سين،
تون اَڇو ۾ راتِ، سَڄَڻَ نِتُ سوجِهرا.",Shah Abdul Latif Bhitai
"چَنڊَ! لَڳَنَئِي مَنڊَ، سنجهي ئي سِيخ ٿئييٖن،
ڪَرِ اُونداهِي اَنڌَ، ته مِلان مَحبُوبَنِ کي.",Shah Abdul Latif Bhitai
"چَنڊَ! چُئَيِن حَقُ، جي وِڙهين جي وِچِرين،
ٻه اَکَيُون ٽِيون نَڪُ، تو ۾ ناهِه پِرِيَنِ جيٖهو.",Shah Abdul Latif Bhitai
"اُونداهِيءَ اَڌَ راتِ ۾، پِرِيءَ پَسَايو پاڻُ،
چَنڊُ ڪَتِن ساڻُ، پيهِي وِيو پَڙِلاوَ ۾.",Shah Abdul Latif Bhitai
"تارا تيلِيءَ رُوءِ، لُڌا لالَن! اُڀِرين،
جِهَڙو تو صُبُوحِ، تَهڙي صافِي سَڄَڻين.",Shah Abdul Latif Bhitai
"تو ڏانهن گهڻو نهاريان تارا تيلاهين،
سَڄَڻُ جيڏاهين، تون تيڏاهين اُڀِرين.”",Shah Abdul Latif Bhitai
"هُنَ تاريٖ، هُنَ هَنڌِ، هُتِ منهنجا سُپِرِين،
سَڄَڻَ ماکِيءَ مَنڌِ، ڪَؤڙا ٿِينِ نه ڪَڏهين.",Shah Abdul Latif Bhitai
"هُنَ تاريٖ، هُنَ هيٺِ، هُتِ منهنجا سُپِرِين،
سَڄَڻَ ماکِيَ ساءِ، ڪَؤڙا ٿِينِ نه ڪَڏهين.",Shah Abdul Latif Bhitai
"هُنَ تاريٖ هُنَ جاءِ، هُت منهنجا سُپِرِين،
سَڄَڻَ ماکِيَ ساءِ، ڪَوڙا ٿين نه ڪڏهين.",Shah Abdul Latif Bhitai
"تارا، تِرَ، تِروڪَڻِيون، مَٿِنِ ڦُلَڙِيُون،
کوءِ! سي راتَڙِيُون! جي مون پرينءَ پُڄاڻان پيئِيُون.",Shah Abdul Latif Bhitai
"آئون اُڪَنڊِيائِي مَران، پِرين ڀَلا پَرَ ڏُورِ،
ٻاٻَلُ ڏئي نه ٻُورِ، پَنڌَ نه جوڳِي پِيَڙِي.",Shah Abdul Latif Bhitai
"وَڏَ ڦُڙو ۽ واءُ، ڪَرَهي کاڏو کوڙيو،
کوءِ، ٻَنِ پَلاڻِيان، اولاڻيو نه اُٿِئـٖي؟",Shah Abdul Latif Bhitai
"پَلاڻِيان پِيو! اولاڻيو نه اَٿِئـٖي!
جيڏاهن وَڳُ ويو، اُڀو تَرسي اوڏهين.",Shah Abdul Latif Bhitai
"پيشانِيءَ ۾ پِرِيَنِ جي، چانگـٖي رَکِيو چِتُ،
نيٽَ ڇِنايو نِتُ، اُڀو اوڏاهين آسري.",Shah Abdul Latif Bhitai
"مِٺِيُون لَهِي مُهاءِ، جي تو چانگا چِنِيُون،
وَلَڙِيُون وِهَه ساءِ، اَڃا تو مُهَندِيُون.",Shah Abdul Latif Bhitai
"ڪين جو ڪيڏاهين، چانگو چَکِي آئِيو،
تاڻيو تيڏاهين، نيٽَ ڇِنايو نِڪريٖ.",Shah Abdul Latif Bhitai
"ڪَرَها! “توکي ڪامَ، مون سَچو پَسِي سَڃِيِي،
مانَ پَرُوڙيٖ مامَ، ساڱاهي سَئينءَ وَهين.",Shah Abdul Latif Bhitai
